CODPROP,NOMPROP,DNIPROP,TELPROP,DIRPROP,CORPROP
"1","Juan Carlos Campor","45789632","987456320","Av. Salaverry","juan@gmail.com"
"2","Carlos Zelada","21560312","963258410","Av. Los rosales","carlos@gmail.com"
"3","Luisa Cárdenas","45126987","978452106","Av. San martín de porres","luisa@gmail.com"
"4","Flor Rosales","65230147","987452103","Av. Los libertadores","florR@gmail.com"
"5","Álvaro Cárdenas","21036787","963741852","Av. Bartolomé","alvaro@gmail.com"
"6","Piero Najarro","52103698","965478123","Av. Los arcos","pieronj@out.pe"
"7","Carlos Torres","20456987","967485103","Av. encipación","carlos@gmail.com"
"8","Juana Prado","45126945","987451230","Av. Los rosales","jprada@out.pe"
"9","Carla Paredes Casas","14578936","965412783","Av. la mar","pcarla@hotmail.com"
"10","Sandra Casas Campos","65123480","904512863","Jr. independencia N° 4852","sandra_casas@hotmail.com"
"11","Paulo Lopez Cabrera","24057896","941203685","Jr. unión calle 145","paulo_lopez@gmail.com"
"12","Alejandro Campos Rivera","78254560","945632800","Av. los campos calle N° 458","alej_campos@gmail.com"
